id,roottype,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,SA1,SA2,SA3,SA4,SA5,SA6,SA7,SA8,SA9,SA10,SA11,SA12,SA13,SA14,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,Dmean1,Dmean2,Dmean3,Dmean4,Dmean5,Dmean6,Dmean7,Dmean8,Dmean9,Dmean10,Dmean11,Dmean12,Dmean13,Dmean14,Lmean1,Lmean2,Lmean3,Lmean4,Lmean5,Lmean6,Lmean7,Lmean8,Lmean9,Lmean10,Lmean11,Lmean12,Lmean13,Lmean14,Lmax1,Lmax2,Lmax3,Lmax4,Lmax5,Lmax6,Lmax7,Lmax8,Lmax9,Lmax10,Lmax11,Lmax12,Lmax13,Lmax14
6,primaryroot,1,3,3,3,3,3,3,3,3,3,3,3,3,3,0.4332457,3.1497771,5.9073612,8.1615717,10.9765282,12.6207309,14.9266425,16.6853168,24.5614037,28.5168504,29.74765,32.1716544,35.615965,37.9189935,0.060446963,0.37779478,0.95048213,1.26251823,1.68475407,1.70309787,2.05891899,2.33895151,3.9977476,5.5432604,4.9694003,5.5375581,6.0685503,6.6406816,0.000707959,0.003732834,0.012395006,0.0157979,0.021094218,0.018512119,0.023299086,0.027303742,0.053537797,0.089327575,0.069630437,0.080164135,0.086951024,0.098090451,0.044079244,0.037524573,0.050933535,0.048645202,0.047805039,0.04263204,0.042379164,0.043482027,0.05071227,0.058872311,0.052706207,0.053264173,0.051597443,0.053783926,0.4332457,1.0499257,1.9691204,2.7205239,3.658842733,4.2069103,4.9755475,5.561772267,8.187134567,9.5056168,9.915883333,10.7238848,11.87198833,12.6396645,0.4332457,1.2759624,2.0267444,3.6488974,4.2776337,4.763541,6.1005945,6.8141775,10.261984,12.227702,15.1134615,15.157764,16.601007,18.1088
6,sum_root,1,3,3,4,5,6,6,7,8,9,11,12,15,16,0.4332457,3.1497771,5.9073612,8.2918393,11.62031092,13.45386071,15.61501103,17.51153875,26.58645396,30.7823241,35.4584443,41.14469779,47.02321851,49.59643902,0.060446963,0.37779478,0.95048213,1.275660954,1.752291409,1.791086129,2.154246314,2.431874153,4.299971893,5.930860415,5.897836745,6.848087281,7.703282343,8.242368517,0.000707959,0.003732834,0.012395006,0.015903419,0.021661484,0.0192706,0.024389949,0.02817106,0.057301563,0.095053671,0.082105824,0.096464377,0.106635693,0.116861499,0.044079244,0.037524573,0.050933535,0.044554306,0.042039351,0.039716822,0.041746943,0.042049305,0.049447428,0.053226043,0.051414161,0.046638039,0.048549363,0.045651053,0.4332457,1.0499257,1.9691204,2.072959825,2.324062184,2.242310118,2.602501838,2.501648393,3.323306745,3.420258233,3.223494936,3.428724816,3.134881234,3.099777439,0.4332457,1.2759624,2.0267444,3.6488974,4.2776337,4.763541,6.1005945,6.8141775,10.261984,12.227702,15.1134615,15.157764,16.601007,18.1088
9,Lateralroot,0,0,3,14,21,23,25,34,47,49,53,56,56,58,0,0,0.67256417,3.635245107,8.920181518,17.31878821,33.23570399,56.92160218,80.15965575,122.1659104,134.7410027,151.1501988,162.0942086,166.2453424,0,0,0.075354318,0.400878626,0.921233272,1.896713123,3.736564258,7.766729176,12.47278243,17.57894473,21.07938337,18.37956974,22.87122729,23.28003749,0,0,0.000723327,0.003783788,0.007991148,0.018524409,0.035609538,0.089250474,0.168349104,0.218802079,0.286537297,0.192507022,0.284417718,0.270468105,0,0,0.036232112,0.035652017,0.032802885,0.034988901,0.034688174,0.042769147,0.046886108,0.042988987,0.046616343,0.036556536,0.043494204,0.043089546,0,0,0.224188057,0.259660365,0.424770548,0.752990792,1.32942816,1.67416477,1.70552459,2.493181845,2.54228307,2.699110693,2.894539439,2.866299007,0,0,0.38969415,0.707552,1.0874797,1.6791832,3.0136418,4.595027,7.7885003,12.729263,11.772266,9.720065,10.622596,15.879782
9,primaryroot,0,5,5,5,5,5,5,5,5,5,5,5,5,6,0,4.6108972,12.7771655,16.4702237,20.74084413,25.1006387,30.1212338,38.1354249,36.2537443,32.27354984,40.85537866,48.5966246,59.6378388,64.3717108,0,0.555855535,2.01825107,1.92266941,2.3642254,2.78099963,3.73080711,5.41684967,5.48589108,4.74623964,6.67514954,7.81752529,9.4044851,9.7811811,0,0.006376525,0.026779446,0.020569615,0.024424762,0.028250297,0.043551052,0.069137073,0.069352333,0.059520473,0.102086556,0.120692632,0.141850169,0.126988897,0,0.037022701,0.053791953,0.037174005,0.039836743,0.036497069,0.047086375,0.044129563,0.046675812,0.051384146,0.056511847,0.049107702,0.052317723,0.045041364,0,0.92217944,2.5554331,3.29404474,4.148168826,5.02012774,6.02424676,7.62708498,7.25074886,6.454709968,8.171075732,9.71932492,11.92756776,10.72861847,0,1.5915215,4.265469,4.6767755,6.796159,9.372086,13.101095,15.516106,15.806219,17.283358,18.796495,17.697184,18.3529,19.850248
9,sum_root,0,5,8,19,26,28,30,39,52,54,58,61,61,64,0,4.6108972,13.44972967,20.10546881,29.66102565,42.41942691,63.35693779,95.05702708,116.4134,154.4394603,175.5963814,199.7468234,221.7320474,230.6170532,0,0.555855535,2.093605388,2.323548036,3.285458672,4.677712753,7.467371368,13.18357885,17.95867351,22.32518437,27.75453291,26.19709503,32.27571239,33.06121859,0,0.006376525,0.027502773,0.024353403,0.03241591,0.046774706,0.07916059,0.158387547,0.237701436,0.278322552,0.388623854,0.313199654,0.426267887,0.397457002,0,0.037022701,0.047207012,0.03605254,0.03415555,0.035258217,0.036754541,0.042943559,0.046865887,0.043766317,0.047469404,0.037585321,0.044217443,0.043272529,0,0.92217944,1.681216209,1.058182569,1.140808679,1.514979533,2.111897926,2.437359669,2.238719232,2.859990005,3.027523817,3.274538089,3.634951596,3.603391456,0,1.5915215,4.265469,4.6767755,6.796159,9.372086,13.101095,15.516106,15.806219,17.283358,18.796495,17.697184,18.3529,19.850248
9,Lateralroot,0,0,4,16,17,20,30,32,34,38,39,45,45,47,0,0,0.34036714,1.911109588,4.753198075,6.593440736,13.1152896,18.40862898,25.6308645,28.14989695,28.81888631,37.21366582,28.78073249,36.62923027,0,0,0.043872751,0.285488355,0.493314041,0.606796726,1.427310825,2.268671387,3.280457695,3.677397574,3.964731796,5.437855834,3.570077175,5.549677139,0,0,0.000458597,0.003667607,0.004327817,0.004711241,0.013111254,0.023748855,0.035664907,0.040701114,0.046078229,0.066703486,0.037055879,0.072323653,0,0,0.04097684,0.043691536,0.030893083,0.028221654,0.033892352,0.037952681,0.040536079,0.042376481,0.042907579,0.047697439,0.039045163,0.047739461,0,0,0.085091785,0.119444349,0.279599887,0.329672037,0.43717632,0.575269656,0.753848956,0.740786762,0.738945803,0.826970351,0.639571833,0.779345325,0,0,0.11999636,0.26692823,0.7178337,1.3474556,1.6927099,2.189545,3.0415874,3.6629086,3.527052,4.614512,3.496865,6.3671975
9,primaryroot,0,1,4,4,4,4,4,4,4,4,4,4,4,4,0,0.7672743,5.98659524,12.4924149,16.900076,20.9547211,27.4156714,31.1754109,33.4699278,37.6435245,41.4375695,52.5983781,41.5618371,32.0972033,0,0.12233442,0.928515298,1.43267879,2.0953487,2.25977739,3.28761228,4.14829803,4.57555134,5.03608124,6.2337331,8.1480006,5.10848,4.9382111,0,0.001618551,0.011941462,0.014908954,0.02700135,0.021315559,0.033393309,0.04881567,0.052107653,0.059623975,0.081899983,0.110270517,0.054145113,0.068051283,0,0.05124683,0.042199842,0.030932981,0.032371686,0.032325401,0.037564361,0.042423645,0.04271283,0.040953233,0.046159381,0.049443976,0.039622407,0.047632168,0,0.7672743,1.49664881,3.123103725,4.225019,5.238680275,6.85391785,7.793852725,8.36748195,9.410881125,10.35939238,13.14959453,10.39045928,8.024300825,0,0.7672743,3.745189,4.714361,6.229238,6.9783425,8.778641,10.120622,11.424354,13.799933,15.255588,19.309622,15.237789,14.944273
9,sum_root,0,1,8,20,21,24,34,36,38,42,43,49,49,51,0,0.7672743,6.32696238,14.40352449,21.65327408,27.54816184,40.530961,49.58403988,59.1007923,65.79342145,70.25645581,89.81204392,70.34256959,68.72643357,0,0.12233442,0.972388049,1.718167145,2.588662741,2.866574116,4.714923105,6.416969417,7.856009035,8.713478814,10.1984649,13.58585643,8.678557175,10.48788824,0,0.001618551,0.012400059,0.01857656,0.031329167,0.0260268,0.046504562,0.072564524,0.08777256,0.100325089,0.127978212,0.176974003,0.091200991,0.140374935,0,0.05124683,0.041588341,0.041139825,0.031174722,0.028905611,0.034324353,0.038449454,0.040765211,0.042240933,0.043210072,0.047840014,0.039092285,0.047731046,0,0.7672743,0.790870298,0.720176224,1.031108289,1.147840077,1.192087088,1.377334441,1.555284008,1.566510034,1.633871065,1.832898855,1.435562645,1.347577129,0,0.7672743,3.745189,4.714361,6.229238,6.9783425,8.778641,10.120622,11.424354,13.799933,15.255588,19.309622,15.237789,14.944273
9,Lateralroot,0,0,3,12,19,27,32,35,38,41,41,50,51,51,0,0,0.292588897,3.10714764,6.522826287,23.3295732,29.87733987,48.19160463,71.57310724,92.34137118,115.0230576,140.1093809,152.4650237,160.4868888,0,0,0.034887874,0.4345314,0.708395786,3.688222087,3.570223938,6.241796227,10.42158975,13.37383395,17.50414935,18.65058659,22.81416803,26.70714671,0,0,0.000371682,0.005440964,0.006671643,0.050013532,0.036284892,0.071434959,0.130732274,0.163760332,0.231317432,0.215385394,0.291123131,0.382113151,0,0,0.040559567,0.045279632,0.033836384,0.050387179,0.039937868,0.042604622,0.045433307,0.044971908,0.047747358,0.040155906,0.047940117,0.050200946,0,0,0.097529632,0.25892897,0.343306647,0.864058267,0.933666871,1.37690299,1.883502822,2.252228565,2.80544043,2.802187617,2.989510269,3.146801741,0,0,0.15528375,0.5093736,0.6122525,2.4728303,2.85954,4.1495776,5.4257207,7.4153013,7.3177714,7.685862,12.632602,8.3137665
9,primaryroot,0,2,4,4,4,4,4,5,5,5,5,5,5,5,0,0.37969235,5.37771365,10.5214632,15.9620701,30.3432375,23.295303,27.2677644,29.58439,29.2939258,32.2296666,29.141596,30.1328937,31.6722069,0,0.05847648,0.82200853,1.64591907,2.35760766,6.71401844,3.48723945,4.23143392,5.27142346,4.78529266,5.94946302,5.74300035,5.199905567,5.7766851,0,0.000791189,0.010336196,0.023468525,0.033665156,0.143748541,0.047308713,0.062440505,0.08806436,0.071527138,0.106739537,0.126104482,0.08233651,0.096321658,0,0.04728332,0.045519224,0.048722269,0.040670811,0.063043528,0.04308625,0.043926461,0.050924958,0.045265531,0.05124713,0.055367402,0.042938185,0.04692117,0,0.189846175,1.344428413,2.6303658,3.990517525,7.585809375,5.82382575,5.45355288,5.916878,5.85878516,6.44593332,5.8283192,6.02657874,6.33444138,0,0.21740295,2.0879078,6.2118177,9.518317,18.48789,14.376519,16.275288,17.704824,17.019424,18.372223,17.401655,18.073112,19.872316
